epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.0114,1.33101,3.55864,0.02733,0.62676,0.55877,0.59374,0.26491,1.75023,1.69587,0.05318,0.000662942,0.000662942,0.000662942
2,166.853,1.67238,1.90763,0.03569,0.48847,0.49616,0.45887,0.19282,1.88208,2.07475,0.05838,0.001292,0.001292,0.001292
3,237.022,1.66484,1.85457,0.03543,0.57121,0.54174,0.53484,0.20743,2.06594,1.76848,0.06789,0.00188334,0.00188334,0.00188334
4,306.951,1.66529,1.7723,0.03511,0.60074,0.61158,0.5779,0.23063,2.05488,1.60933,0.06707,0.00183029,0.00183029,0.00183029
5,376.833,1.59352,1.59986,0.03358,0.6664,0.60988,0.62298,0.25404,2.07347,1.4967,0.06479,0.00177371,0.00177371,0.00177371
6,446.675,1.59467,1.59244,0.03344,0.625,0.58488,0.57662,0.21496,2.04203,1.7306,0.069,0.00171714,0.00171714,0.00171714
7,516.549,1.54849,1.4843,0.0323,0.73721,0.62128,0.67375,0.28731,1.88463,1.38961,0.06183,0.00166057,0.00166057,0.00166057
8,586.457,1.50024,1.41615,0.03086,0.71427,0.70017,0.74083,0.39737,1.63168,1.22683,0.04804,0.001604,0.001604,0.001604
9,656.343,1.46578,1.38912,0.03028,0.79284,0.65417,0.7623,0.40485,1.61703,1.15587,0.04804,0.00154743,0.00154743,0.00154743
10,726.245,1.44665,1.39408,0.02999,0.76007,0.70697,0.76685,0.42235,1.57398,1.18112,0.04637,0.00149086,0.00149086,0.00149086
11,796.05,1.42674,1.29889,0.02926,0.76744,0.72521,0.7745,0.43965,1.41901,1.05979,0.04183,0.00143429,0.00143429,0.00143429
12,865.934,1.39419,1.28644,0.02908,0.77332,0.77513,0.80638,0.4851,1.40298,0.98957,0.04059,0.00137771,0.00137771,0.00137771
13,935.824,1.38805,1.22985,0.02811,0.76601,0.75288,0.79395,0.49022,1.36158,0.97825,0.03882,0.00132114,0.00132114,0.00132114
14,1005.72,1.34795,1.2234,0.02758,0.81243,0.7748,0.82763,0.47113,1.51447,0.99638,0.04446,0.00126457,0.00126457,0.00126457
15,1075.58,1.31444,1.18231,0.02695,0.77677,0.76471,0.80219,0.48729,1.35272,0.97958,0.0387,0.001208,0.001208,0.001208
16,1145.4,1.31502,1.18563,0.02684,0.82277,0.77342,0.826,0.50106,1.37729,0.92311,0.04018,0.00115143,0.00115143,0.00115143
17,1215.25,1.28465,1.09574,0.02583,0.85143,0.78876,0.84565,0.53599,1.30563,0.87868,0.03795,0.00109486,0.00109486,0.00109486
18,1285.15,1.24186,1.05754,0.0252,0.85587,0.79727,0.83747,0.52886,1.29981,0.86871,0.03802,0.00103829,0.00103829,0.00103829
19,1354.96,1.2483,1.05832,0.02552,0.80544,0.81431,0.83976,0.55531,1.19258,0.82517,0.03348,0.000981714,0.000981714,0.000981714
20,1424.82,1.21907,1.03344,0.02446,0.86105,0.8075,0.85619,0.5751,1.19253,0.80342,0.03324,0.000925143,0.000925143,0.000925143
21,1494.69,1.21253,1.05206,0.02418,0.82871,0.82419,0.85541,0.58211,1.1915,0.78693,0.03348,0.000868571,0.000868571,0.000868571
22,1564.55,1.17498,1.04359,0.02355,0.8274,0.80031,0.85219,0.56873,1.16293,0.87139,0.03334,0.000812,0.000812,0.000812
23,1634.36,1.17421,1.00048,0.02324,0.86845,0.8092,0.86721,0.61045,1.10786,0.72351,0.03118,0.000755429,0.000755429,0.000755429
24,1704.2,1.14316,0.95605,0.02276,0.87287,0.79387,0.86589,0.60453,1.10991,0.72285,0.03111,0.000698857,0.000698857,0.000698857
25,1774.02,1.12481,0.97281,0.02239,0.86562,0.82794,0.875,0.62093,1.05094,0.73308,0.02925,0.000642286,0.000642286,0.000642286
26,1846.19,1.03427,0.68114,0.02798,0.86461,0.8092,0.86942,0.60166,1.12429,0.72418,0.03133,0.000585714,0.000585714,0.000585714
27,1915.54,1.01287,0.64723,0.0272,0.89595,0.80681,0.88002,0.62594,1.09229,0.70077,0.02968,0.000529143,0.000529143,0.000529143
28,1984.98,0.9676,0.61114,0.02548,0.85907,0.81,0.87296,0.61822,1.07322,0.71041,0.02988,0.000472571,0.000472571,0.000472571
29,2054.36,0.96656,0.58266,0.02568,0.88428,0.83816,0.88141,0.64611,1.00598,0.6696,0.02686,0.000416,0.000416,0.000416
30,2123.79,0.9139,0.54083,0.02392,0.89182,0.82624,0.88912,0.6494,1.01269,0.65105,0.02756,0.000359429,0.000359429,0.000359429
31,2193.21,0.92519,0.51973,0.02449,0.88663,0.83938,0.89166,0.6605,0.98148,0.6249,0.02673,0.000302857,0.000302857,0.000302857
32,2262.61,0.90702,0.5126,0.02383,0.86363,0.85349,0.88887,0.67163,0.94733,0.64464,0.02547,0.000246286,0.000246286,0.000246286
33,2332.01,0.86743,0.4868,0.02252,0.88457,0.86165,0.8949,0.67716,0.95182,0.61493,0.0255,0.000189714,0.000189714,0.000189714
34,2401.41,0.85334,0.48397,0.02198,0.90637,0.84101,0.89488,0.6785,0.9429,0.61466,0.02532,0.000133143,0.000133143,0.000133143
35,2470.83,0.85401,0.47174,0.0221,0.90084,0.85117,0.89826,0.67987,0.94136,0.60471,0.02527,7.65714e-05,7.65714e-05,7.65714e-05
